COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Saudi Arabia	0 	0 		0 		19 	0 			0 		0 	C 		0 		0 		0 	193 	0 		0 	0 		139 	0 	0 			6 		0 	0 				0 	0 	0 			0 				23 						0 			0 	0 	1 	0 	0 			C 		0 				382 
Senegal	0 	0 		0 		0 	32 			0 		0 			0 		0 		2 		0 		7 	0 			0 						0 	0 					5 				0 										0 			0 	0 		1 	0 			C 	0 	0 				47 
Serbia, Republic of	0 	0 		1 		0 	0 			0 		0 			0 		0 		1 		0 		0 	0 	9 		0 						0 	0 					4 				0 								65 		1 			0 	0 		0 	0 			11 	7 	0 				99 
Seychelles	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 			5 	0 										0 			0 	0 		0 	0 			C 	0 	0 				5 
Sierra Leone	0 	0 		0 		4 	0 			0 		0 			0 		0 		0 		1 		0 	0 			0 						0 	0 					0 	0 			0 										0 			0 	0 		0 	0 			0 	0 	0 				5 
Singapore	0 	0 	460 	86 	50 	63 	47 		0 	1105 	20 	0 	3383 	35 	0 		0 	0 	103 	0 	0 		500 	501 	4 	57 	0 	0 	23 	700 	13 		356 	3103 	1082 	1 	144 	0 	1396 	435 	0 	215 	888 	2 	2 	383 			50 		0 		0 		0 	7 	18 	210 	261 	7 			6679 	19885 	0 			C 	42273 
Sint Maarten																																																																					
Slovak Republic	0 	0 		357 		15 	0 			0 	6 	3 	7 		0 		11 	541 	1 		2 		43 	1056 		0 	25 			7 			71 	24 	2 		6 		213 	1 			73 								0 		0 			0 	2 		26 	0 			C 	101 	0 				2592 
Slovenia	0 	0 	C 	409 		23 	15 		5 	0 		2 			0 		12 	36 	0 		0 		193 	751 		24 	0 			139 			213 	0 	2 		0 		230 				45 								0 		0 			0 	13 	0 	49 	0 			C 	45 	0 				2207 
Solomon Islands	0 	0 		0 		0 	0 	0 		0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Somalia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				0 
South Africa	0 	0 	194 	260 		149 	487 	0 		348 		12 	1 	0 	0 	0 	0 		153 		0 		639 	1623 	16 	194 	0 			845 	39 	1 	354 	1301 	121 		5 	0 	1438 	39 	1 	1444 	585 	0 		23 			5 		169 		0 	584 	0 		51 	111 	584 	0 	0 		C 	12168 	0 			C 	23944 
South Sudan																																																																					
Spain	249 	0 	789 	3236 	14 	16451 	1185 	116 	15 	2551 	57 	38 	681 	34 	6 		28 	165 	2073 	19 	1 	3303 	66383 	49029 	159 	2197 	5 	18 		21817 	122 	15 	11729 	16065 	1757 	26 	8 	2 	23490 	7 	19 		28463 	25 	25 	3625 		2 	5 		3226 		0 	1896 	12 	56 		2359 	4203 	0 	0 		25416 	36419 	1 			7025 	336615 
Sri Lanka	0 	0 		0 		7 	1 			0 		0 	0 		0 		0 		1 		0 		0 	0 		1 	0 				0 		0 	0 				0 	10 	0 		18 	0 			0 	3 						0 	53 		0 	0 	0 	0 	0 			C 	109 	0 			C 	205 
St. Kitts and Nevis	0 	0 		0 		0 	0 			0 	7 	0 			0 		0 		0 		0 		0 	0 			0 						47 						0 				0 										0 			0 	0 			0 			0 	0 	0 				54 
St. Lucia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
